	Weight	Dry_To_Fresh_Weight_Ratio_100	Sepal_Mm	Petal_Mm	Pericarp_And_Sep_Area_Ratio	Columella_Area	Locule_Number	Pericarp_Area	Pericarp_Max_Cell_Size	Pericarp_And_Sep_Area	Pericarp_Cell_Number_Per_Mm	Pericarp_Thickness	Sepal_To_Petal_Ratio	Pericarp_Area_Ratio	Pericarp_Cell_Number
BGV004584	0.267405939935071	0.220731882793239	0.478168724940223	-0.0377593966194057	0.29145855491042	0.98455894483498	0.0912767051918666	0.375879650718902	1.13910734320755	0.358799317958353	-0.770516133047134	0.791638607743375	0.512310475491004	0.0639066138102956	0.749731969405294
BGV005895	-0.0226521925669681	0.0226521925669681	0.835183394394031	0.600470416446411	-0.111994174639077	0.274839577018141	-0.183321896572339	-0.0639066138102956	0.0467243547538139	-0.0639066138102956	-0.0935509957864241	-0.0779243890270372	0.712906503637812	-0.128075566396302	-0.284016787609739
BGV005912	0.495167446261611	-2.16850240378481	0.547060236341646	-0.495167446261611	-0.079913902643638	0.410378026831998	0.897041130901376	0.591567671638584	0.300264833276434	0.669487246688741	-0.0311432730320925	0.538746024376497	0.7325131463131	-1.03780025665793	1.34037264781591
BGV006148	-0.0831466413752392	-0.813969104178664	0.189887113917251	-0.189887113917251	-0.0479156842923997	-0.0159664635457842	-0.650837306444477	0.079913902643638	-0.172106201697008	0.0319369986870564	0.235701125760499	-0.0311432730320925	0.267405939935071	0.0319369986870564	0.631137978608047
BGV006175	0.793114967176137	-1.48119650655781	2.7464669030318	2.36413369987021	1.66686424846372	1.12368543654129	0.6321747002253	1.12368543654129	NA	1.12368543654129	NA	NA	1.52802623608251	1.40764684509272	NA
BGV006208	-1.76055793854814	0.65565179297686	-2.03185166811756	-1.2512497471971	-0.160342267446307	-2.34341178688269	-2.02933439373386	-1.36588671774433	-1.08143624642783	-1.288844277586	1.30308253983479	-1.08143624642783	-1.48119650655781	0.274839577018141	-0.416534901828723
BGV006225	0.0680031427439208	-1.04682407852197	0.236231533003991	0.478168724940223	0.669487246688741	-0.0319369986870564	-0.874551141945308	0.111994174639077	0.0155697487574936	0.144190150450508	-0.0623167887067585	0.156325575894448	0.205285083421727	0.958958568083587	0.503081700073011
BGV006229	0.113494460967638	-0.0831466413752392	-0.236231533003991	0.314670232151404	0.480920153761707	0.20906832091782	-0.060804192317228	0.258296167348666	0.187929806225951	0.20906832091782	-0.36610635680057	0.36610635680057	-0.495167446261611	0.498921914616451	0.300264833276434
BGV006230	-0.411476879057021	0.159221994374741	-0.220731882793239	-0.174534037589108	-0.517086837682098	-0.591567671638584	-0.595491242138773	-0.445371983483734	-0.520831048339629	-0.445371983483734	0.538746024376497	-0.538746024376497	-0.330577220059425	-0.46307291711285	-0.575109281278438
BGV006231	0.0983092327947111	-1.15769640438575	-0.330577220059425	-0.0226521925669681	0.535424014586856	-0.20906832091782	0.472789120992267	0.20906832091782	0.156325575894448	0.258296167348666	0.172106201697008	0.187929806225951	-0.582483631422211	0.427809515045659	1.027154272915
BGV006232	0.083146641375239	-1.2512497471971	0.0680031427439208	1.32026370827448	0.885668516683683	0.192776819948932	-1.92247946907798	0.480920153761707	0.468046198144695	0.445371983483734	-0.834984016010559	0.59357705541884	-0.128705906664142	1.03780025665793	0.0623167887067586
BGV006234	0.283089234620174	-1.52802623608251	0.901222783434718	1.48119650655781	0.933971738703879	0.111994174639077	0.0303880492687251	0.669487246688741	0.503081700073011	0.630049160967473	-0.433576127646078	0.520831048339629	0.618653607602669	1.06555642985282	0.433576127646078
BGV006235	0.427967614598895	-0.901222783434718	0.251788147351179	1.35725942390048	0.730690609131762	0.445371983483734	0.747858594763302	0.572654012296242	0.669611329235736	0.610695366820048	-0.187929806225951	0.709102503409024	-0.0226521925669681	0.517086837682098	1.42112816583675
BGV006327	-1.39621220509052	1.28499171067819	-1.69349415876336	0.174534037589108	-1.25304018435762	-2.00853955386358	-1.83391463581591	-2.34341178688269	-2.15635570519183	-2.34341178688269	2.15635570519183	-0.791638607743375	-1.92509985211144	-0.730690609131762	0.903124867531437
BGV006336	-2.7464669030318	1.04682407852197	-1.63328229572298	1.63328229572298	-1.36588671774433	-2.72813120769123	-1.75776279171325	-2.72813120769123	-1.82287066817152	-2.72813120769123	1.56317081670628	-0.834984016010559	-2.36413369987021	-1.21877412128339	0.251739742390621
BGV006347	-2.36413369987021	1.92509985211144	-0.835183394394031	0.901222783434718	-0.128075566396302	-2.14632405453188	-1.6906216295849	-2.14632405453188	-1.34037264781591	-2.14632405453188	1.027154272915	-0.975741569736452	-1.32026370827448	0.358799317958353	-0.709102503409024
BGV006353	-2.16850240378481	0.600470416446411	-0.674489750196082	0.924124138853624	0.160342267446307	-1.90082574485089	-0.788673209000597	-1.60597112358835	-0.903124867531437	-1.40764684509272	0.813120335547026	-0.575109281278438	-1.10056887678512	0.730690609131762	-0.172106201697008
BGV006363	-1.18773010516788	1.48119650655781	-1.48119650655781	-0.65565179297686	-0.192776819948932	-1.09415877076674	0.0760316231203884	-0.909554838541739	-1.7463777039325	-0.885668516683683	1.6183366697779	-0.813120335547026	-1.21887519348102	-0.0159664635457842	0.267843382677015
BGV006370	-1.48119650655781	2.16850240378481	-2.7464669030318	0.0226521925669681	-0.0319369986870564	-1.18588228541607	-0.292771296177253	-1.12368543654129	-0.450744212615359	-1.01082141652608	0.903124867531437	-0.650254332726559	-2.7464669030318	0.144190150450508	-0.251739742390621
BGV006454	-1.35725942390048	2.7464669030318	-0.924124138853624	1.39621220509052	-0.862277135207436	-1.45201722697845	-1.63033694638119	-2.00853955386358	-0.284016787609739	-1.81149867317303	0.21972291581858	-0.382806348430005	-1.52802623608251	-0.689599852967874	-0.791638607743375
BGV006457	-1.57846931850513	1.8366264474114	-0.813969104178664	2.16850240378481	-0.274839577018141	-1.12368543654129	-1.57545475087096	-0.885668516683683	-0.834984016010559	-0.958958568083587	0.749731969405294	-0.689222547501832	-1.69349415876336	0.176536327671504	-0.631137978608047
